Timepoint,Batch,Animal ,Eartag ,Uplo,Bafr,Pen,Corridor,Diet,Duration,Type ,Bilirubin_1,Cortisol_1,Haptoglobin,Titer_IgG,Titer_IgM,wbc ,neutro1,lympho1,mono1,eo1,baso1,neutro2,lympho2,mono2,eo2,baso2,CD8+,CD8+ perf+,NK+,NK+ perf+,CD4+,CD4+ perf+,gamma delta+,gamma delta+ perf+,CD14+ large,CD21+ large
T0,2,127,86534,low,back,33,5,E,18,C,9.84,7.42,0.24,6.6,3.6,9.06,3.56,3.86,1.27,0.22,0.16,39.3,42.6,13.95,2.4,1.75,7.85,1.55,4.71,2.67,21.9,0.17,41.7,0.12,46.4,8.05
T0,2,128,97402,low,back,33,5,E,18,C,19.58,10.09,0.40,2.9,3.6,10.31,5.72,2.50,1.64,0.31,0.15,55.45,24.25,15.85,3,1.45,11.6,3.13,16.9,2.48,21.3,0.46,23.8,0.34,58.7,3.25
T24,1,1,73981,low,back,2,1,M,6,U,5.03,10.09,0.15,4.9,2.6,,,,,,,,,,,,,,,,,,,,,
T24,1,2,45400,low,back,2,1,M,6,U,1.61,1.55,0.16,4.8,7.6,,,,,,,,,,,,,,,,,,,,,
T24,1,3,48454,up,back,4,1,E,6,U,1.93,1.71,0.28,4.3,5.3,,,,,,,,,,,,,,,,,,,,,
T24,1,4,4796,up,back,4,1,E,6,U,7.92,0.53,0.26,3.6,3.6,,,,,,,,,,,,,,,,,,,,,
T24,1,5,85085,low,back,6,1,M,6,C,8.99,6.08,0.17,3.6,6.2,,,,,,,,,,,,,,,,,,,,,
T24,1,6,884,low,back,6,1,M,6,C,4.60,2.81,0.45,3.3,5.9,,,,,,,,,,,,,,,,,,,,,
T24,1,7,59787,up,back,7,1,E,6,C,5.67,1.95,0.17,5.0,3.6,,,,,,,,,,,,,,,,,,,,,
T24,1,8,73475,up,back,7,1,E,6,C,5.14,3.44,0.18,5.4,6.7,,,,,,,,,,,,,,,,,,,,,
T24,1,9,29559,up,back,10,2,E,6,C,4.39,0.37,0.24,3.0,6.5,,,,,,,,,,,,,,,,,,,,,
T24,1,10,57771,up,back,10,2,E,6,C,4.39,4.45,0.26,4.2,5.3,,,,,,,,,,,,,,,,,,,,,
T24,1,11,37002,low,back,13,2,M,6,U,4.60,0.05,0.19,5.6,6.0,,,,,,,,,,,,,,,,,,,,,
T24,1,12,37558,low,back,13,2,M,6,U,4.39,.,0.15,5.2,4.3,,,,,,,,,,,,,,,,,,,,,
