lizard_ID,species,start_date,initial_mass,start_crickets,initial_svl,initial_tl,trial1_mass,trial1_date,crickets_left1,crickets_eaten1,trial2_mass,trial2_date,crickets_left2,crickets_eaten2,trial3_mass,trial3_date,crickets_left3,crickets_eaten3,final_mass,final_svl,final_tl,clutch,egg_date,hatch_date,sex,yolk_trt,temp_trt,hatch_mass,hatch_svl,hatch_tl,egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,extracted_yolk,dev_time
LG159_20,guichenoti,21/12/20,0.237,30,22.357,33.002,0.196,23/12/20,11,19,0.178,25/12/20,14,16,0.128,27/12/20,9,21,0.321,23.866,35.354,CL047_20,4/11/20,7/12/20,NA,C,28,0.156,19.233,28.069,0.218,8.94,6.7,0.218,0,33
LG160_20,guichenoti,4/1/21,0.206,30,21.549,30.601,0.149,6/1/21,9,21,0.162,8/1/21,9,21,0.276,10/1/21,12,18,0.317,23.844,32.515,CL047_20,4/11/20,24/12/20,NA,A,23,0.143,19.942,25.935,0.219,8.84,6.75,0.196,0.023,50
LG174_20,guichenoti,4/1/21,0.205,30,20.04,29.985,0.151,6/1/21,8,22,0.181,8/1/21,14,16,0.224,10/1/21,14,16,0.297,23.241,32.832,CL051_20,5/11/20,26/12/20,NA,A,23,0.141,19.344,26.589,0.162,8.62,5.79,0.137,0.025,51
LG175_20,guichenoti,16/12/20,0.176,30,20.731,3.5,0.119,18/12/20,8,22,0.175,20/12/20,11,19,0.236,22/12/20,10,20,0.266,25.229,4.285,CL051_20,5/11/20,6/12/20,m,A,28,0.126,18.798,3.744,0.161,9.07,5.62,0.135,0.026,31
LG176_20,guichenoti,16/12/20,0.192,30,20.389,31.646,0.126,18/12/20,9,21,0.191,20/12/20,5,25,0.229,22/12/20,8,22,0.298,22.233,36.079,CL051_20,5/11/20,6/12/20,NA,C,28,0.151,19.242,29.379,0.162,8.19,6.06,0.162,0,31
LG195_20,guichenoti,23/12/20,0.166,30,21.844,30.227,0.202,25/12/20,20,10,0.133,27/12/20,16,14,0.29,29/12/20,22,8,0.223,22.9,30.053,CL056_20,6/11/20,8/12/20,NA,C,28,0.162,21.09,27.926,0.178,9.82,5.58,0.178,0,32
LG196_20,guichenoti,21/12/20,0.219,30,21.536,29.466,0.206,23/12/20,15,15,0.187,25/12/20,12,18,0.221,27/12/20,20,10,0.239,22.596,31.443,CL056_20,6/11/20,10/12/20,f,A,28,0.136,19.147,26.281,0.186,9.44,5.78,0.163,0.023,34
LG197_20,guichenoti,13/1/21,0.191,30,21.159,26.696,0.164,15/1/21,12,18,0.139,17/1/21,11,19,0.13,19/1/21,12,18,0.265,22.631,30.051,CL056_20,6/11/20,29/12/20,NA,A,23,0.146,19.628,24.661,0.166,9.24,5.64,0.144,0.022,53
LG212_20,guichenoti,21/12/20,0.212,30,19.817,28.324,0.233,23/12/20,19,11,0.205,25/12/20,15,15,0.271,27/12/20,19,11,0.245,21.916,28.077,CL061_20,7/11/20,9/12/20,NA,C,28,0.139,19.129,23.129,0.14,8.46,5.46,0.14,0,32
LG213_20,guichenoti,13/1/21,0.163,30,19.436,25.709,0.122,15/1/21,12,18,0.135,17/1/21,10,20,0.124,19/1/21,13,17,0.219,20.57,28.41,CL061_20,7/11/20,30/12/20,NA,A,23,0.112,18.379,22.879,0.148,8.6,5.49,0.127,0.021,53
LG214_20,guichenoti,21/12/20,0.174,30,20.117,23.993,0.161,23/12/20,12,18,0.239,25/12/20,20,10,0.224,27/12/20,15,15,0.271,21.731,28.127,CL062_20,7/11/20,9/12/20,NA,C,28,0.144,19.192,27.708,0.131,8.66,5.1,0.131,0,32
LG215_20,guichenoti,21/12/20,0.168,30,19.676,27.574,0.219,23/12/20,15,15,0.224,25/12/20,18,12,0.178,27/12/20,12,18,0.254,21.807,31.079,CL062_20,7/11/20,11/12/20,m,A,28,0.112,17.766,25.391,0.139,8.28,5.46,0.121,0.018,34
LG217_20,guichenoti,21/12/20,0.215,30,21.351,30.715,0.224,23/12/20,11,19,0.13,25/12/20,13,17,0.174,27/12/20,20,10,0.281,22.072,33.564,CL063_20,7/11/20,8/12/20,NA,C,28,0.138,18.094,26.528,0.186,8.94,6.26,0.186,0,31
LG218_20,guichenoti,21/12/20,0.159,30,18.363,23.445,0.154,23/12/20,9,21,0.22,25/12/20,19,11,0.266,27/12/20,17,13,0.214,21.485,26.254,CL063_20,7/11/20,10/12/20,m,A,28,0.111,16.511,21.502,0.176,8.61,6.28,0.153,0.023,33
LG219_20,guichenoti,21/12/20,0.225,30,20.574,30.283,0.223,23/12/20,19,11,0.22,25/12/20,19,11,0.258,27/12/20,17,13,0.28,22.799,34.521,CL064_20,7/11/20,10/12/20,NA,C,28,0.163,20.413,28.185,0.169,8.77,5.92,0.169,0,33
